Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Cash,Capital,InOutCash,Bench
2007-12-31,TLT,85.978611349957,0.0,93.04,GLD,24.247513946155713,0.0,82.46,0.0,9998,0,51.44
2008-01-02,TLT,85.978611349957,0.0,94.38,GLD,24.247513946155713,0.0,84.86,0.0,10172,0,50.629999999999995
2008-01-03,TLT,85.978611349957,0.0,94.25,GLD,24.247513946155713,0.0,85.57,0.0,10178,0,50.839999999999996
2008-01-04,TLT,85.978611349957,0.0,94.27,GLD,24.247513946155713,0.0,85.13,0.0,10169,0,48.62
2008-01-07,TLT,85.978611349957,0.0,94.68,GLD,24.247513946155713,0.0,84.77,0.0,10195,0,48.39
2008-01-08,TLT,85.978611349957,0.0,94.57,GLD,24.247513946155713,0.0,86.78,0.0,10235,0,47.14
2008-01-09,TLT,85.978611349957,0.0,94.75,GLD,24.247513946155713,0.0,86.55,0.0,10245,0,48.14
2008-01-10,TLT,85.978611349957,0.0,93.47,GLD,24.247513946155713,0.0,88.25,0.0,10176,0,48.21
2008-01-11,TLT,85.978611349957,0.0,94.2,GLD,24.247513946155713,0.0,88.58,0.0,10247,0,47.269999999999996
2008-01-14,TLT,85.978611349957,0.0,94.55,GLD,24.247513946155713,0.0,89.54,0.0,10300,0,48.089999999999996
2008-01-15,TLT,85.978611349957,0.0,95.61,GLD,24.247513946155713,0.0,87.99,0.0,10353,0,46.769999999999996
2008-01-16,TLT,85.978611349957,0.0,94.92,GLD,24.247513946155713,0.0,86.7,0.0,10263,0,46.269999999999996
2008-01-17,TLT,85.978611349957,0.0,96.15,GLD,24.247513946155713,0.0,86.5,0.0,10364,0,45.629999999999995
2008-01-18,TLT,85.978611349957,0.0,95.49,GLD,24.247513946155713,0.0,87.42,0.0,10329,0,45.57
2008-01-22,TLT,85.978611349957,0.0,96.51,GLD,24.247513946155713,0.0,88.17,0.0,10435,0,44.4
2008-01-23,TLT,85.978611349957,0.0,96.29,GLD,24.247513946155713,0.0,87.89,0.0,10409,0,44.23
2008-01-24,TLT,85.978611349957,0.0,94.36,GLD,24.247513946155713,0.0,90.08,0.0,10297,0,45.129999999999995
2008-01-25,TLT,85.978611349957,0.0,95.95,GLD,24.247513946155713,0.0,90.3,0.0,10439,0,44.21
2008-01-28,TLT,85.978611349957,0.0,95.59,GLD,24.247513946155713,0.0,91.75,0.0,10443,0,44.55
2008-01-29,TLT,85.978611349957,0.0,94.94,GLD,24.247513946155713,0.0,91.15,0.0,10372,0,44.629999999999995
2008-01-30,TLT,85.978611349957,0.0,94.32,GLD,24.247513946155713,0.0,92.06,0.0,10341,0,44.589999999999996
2008-01-31,TLT,85.978611349957,0.0,94.99,GLD,24.247513946155713,0.0,91.4,0.0,10383,0,45.35
2008-02-01,TLT,85.978611349957,0.329,95.23,GLD,24.247513946155713,0.0,89.35,0.0,10354,0,45.81
2008-02-04,TLT,85.978611349957,0.0,94.25,GLD,24.247513946155713,0.0,89.1,0.0,10263,0,45.17
2008-02-05,TLT,85.978611349957,0.0,94.97,GLD,24.247513946155713,0.0,87.68,0.0,10291,0,43.89
2008-02-06,TLT,85.978611349957,0.0,94.68,GLD,24.247513946155713,0.0,88.95,0.0,10297,0,43.03
2008-02-07,TLT,85.978611349957,0.0,92.64,GLD,24.247513946155713,0.0,89.85,0.0,10143,0,43.33
2008-02-08,TLT,85.978611349957,0.0,93.7,GLD,24.247513946155713,0.0,91.0,0.0,10262,0,43.82
2008-02-11,TLT,85.978611349957,0.0,94.09,GLD,24.247513946155713,0.0,91.33,0.0,10304,0,44.29
2008-02-12,TLT,85.978611349957,0.0,93.53,GLD,24.247513946155713,0.0,89.33,0.0,10207,0,44.04
2008-02-13,TLT,85.978611349957,0.0,92.54,GLD,24.247513946155713,0.0,89.44,0.0,10125,0,45.0
2008-02-14,TLT,85.978611349957,0.0,91.18,GLD,24.247513946155713,0.0,89.71,0.0,10014,0,44.19
2008-02-15,TLT,85.978611349957,0.0,91.88,GLD,24.247513946155713,0.0,89.15,0.0,10061,0,44.04
2008-02-19,TLT,85.978611349957,0.0,90.95,GLD,24.247513946155713,0.0,91.58,0.0,10040,0,43.96
2008-02-20,TLT,85.978611349957,0.0,91.58,GLD,24.247513946155713,0.0,93.24,0.0,10134,0,44.16
2008-02-21,TLT,85.978611349957,0.0,92.55,GLD,24.247513946155713,0.0,93.25,0.0,10218,0,43.74
2008-02-22,TLT,85.978611349957,0.0,92.02,GLD,24.247513946155713,0.0,93.39,0.0,10176,0,43.9
2008-02-25,TLT,85.978611349957,0.0,91.08,GLD,24.247513946155713,0.0,92.74,0.0,10079,0,44.12
2008-02-26,TLT,85.978611349957,0.0,91.11,GLD,24.247513946155713,0.0,93.71,0.0,10105,0,44.29
2008-02-27,TLT,85.978611349957,0.0,91.19,GLD,24.247513946155713,0.0,94.78,0.0,10138,0,44.51
2008-02-28,TLT,85.978611349957,0.0,92.81,GLD,24.247513946155713,0.0,95.99,0.0,10307,0,44.339999999999996
2008-02-29,TLT,85.978611349957,0.0,94.23,GLD,24.247513946155713,0.0,96.18,0.0,10433,0,43.17
2008-03-03,TLT,85.978611349957,0.348,93.64,GLD,24.247513946155713,0.0,97.24,0.0,10408,0,42.89
2008-03-04,TLT,85.978611349957,0.0,92.73,GLD,24.247513946155713,0.0,95.18,0.0,10280,0,43.129999999999995
2008-03-05,TLT,85.978611349957,0.0,91.62,GLD,24.247513946155713,0.0,97.72,0.0,10246,0,43.339999999999996
2008-03-06,TLT,85.978611349957,0.0,92.11,GLD,24.247513946155713,0.0,96.5,0.0,10259,0,42.39
2008-03-07,TLT,85.978611349957,0.0,92.23,GLD,24.247513946155713,0.0,96.09,0.0,10259,0,42.29
2008-03-10,TLT,85.978611349957,0.0,93.59,GLD,24.247513946155713,0.0,95.87,0.0,10371,0,41.48
2008-03-11,TLT,85.978611349957,0.0,92.79,GLD,24.247513946155713,0.0,95.99,0.0,10305,0,43.05
2008-03-12,TLT,85.978611349957,0.0,94.58,GLD,24.247513946155713,0.0,97.01,0.0,10484,0,42.93
2008-03-13,TLT,85.978611349957,0.0,93.84,GLD,24.247513946155713,0.0,98.34,0.0,10452,0,43.26
2008-03-14,TLT,85.978611349957,0.0,95.0,GLD,24.247513946155713,0.0,98.71,0.0,10561,0,42.47
2008-03-17,TLT,85.978611349957,0.0,95.73,GLD,24.247513946155713,0.0,99.17,0.0,10635,0,41.699999999999996
2008-03-18,TLT,85.978611349957,0.0,95.36,GLD,24.247513946155713,0.0,96.5,0.0,10538,0,43.55
2008-03-19,TLT,85.978611349957,0.0,96.94,GLD,24.247513946155713,0.0,93.04,0.0,10590,0,42.48
2008-03-20,TLT,85.978611349957,0.0,97.18,GLD,24.247513946155713,0.0,89.91,0.0,10535,0,43.343
2008-03-24,TLT,85.978611349957,0.0,95.3,GLD,24.247513946155713,0.0,90.1,0.0,10378,0,44.833
2008-03-25,TLT,85.978611349957,0.0,95.7,GLD,24.247513946155713,0.0,92.73,0.0,10476,0,45.083
2008-03-26,TLT,85.978611349957,0.0,95.3,GLD,24.247513946155713,0.0,93.8,0.0,10468,0,44.953
2008-03-27,TLT,85.978611349957,0.0,94.63,GLD,24.247513946155713,0.0,93.46,0.0,10402,0,43.963
2008-03-28,TLT,85.978611349957,0.0,95.55,GLD,24.247513946155713,0.0,91.88,0.0,10443,0,43.743
2008-03-31,TLT,87.50020687133043,0.0,95.89,GLD,23.200959066729002,0.0,90.41,0.0,10487,0,43.973
2008-04-01,TLT,87.50020687133043,0.406,93.93,GLD,23.200959066729002,0.0,86.86,0.0,10234,0,45.843
2008-04-02,TLT,87.50020687133043,0.0,94.13,GLD,23.200959066729002,0.0,89.27,0.0,10307,0,45.743
2008-04-03,TLT,87.50020687133043,0.0,94.34,GLD,23.200959066729002,0.0,89.42,0.0,10329,0,45.843
2008-04-04,TLT,87.50020687133043,0.0,95.2,GLD,23.200959066729002,0.0,90.25,0.0,10423,0,46.113
2008-04-07,TLT,87.50020687133043,0.0,94.7,GLD,23.200959066729002,0.0,91.17,0.0,10401,0,46.013
2008-04-08,TLT,87.50020687133043,0.0,94.37,GLD,23.200959066729002,0.0,90.35,0.0,10353,0,45.663
2008-04-09,TLT,87.50020687133043,0.0,95.35,GLD,23.200959066729002,0.0,92.29,0.0,10484,0,45.153
2008-04-10,TLT,87.50020687133043,0.0,95.03,GLD,23.200959066729002,0.0,91.77,0.0,10444,0,45.793
2008-04-11,TLT,87.50020687133043,0.0,95.67,GLD,23.200959066729002,0.0,91.3,0.0,10489,0,44.533
2008-04-14,TLT,87.50020687133043,0.0,95.11,GLD,23.200959066729002,0.0,91.11,0.0,10435,0,44.333
2008-04-15,TLT,87.50020687133043,0.0,93.93,GLD,23.200959066729002,0.0,91.66,0.0,10345,0,44.393
2008-04-16,TLT,87.50020687133043,0.0,93.01,GLD,23.200959066729002,0.0,93.27,0.0,10302,0,45.623
2008-04-17,TLT,87.50020687133043,0.0,92.85,GLD,23.200959066729002,0.0,92.56,0.0,10271,0,45.523
2008-04-18,TLT,87.50020687133043,0.0,92.77,GLD,23.200959066729002,0.0,90.62,0.0,10219,0,46.963
2008-04-21,TLT,87.50020687133043,0.0,93.14,GLD,23.200959066729002,0.0,90.25,0.0,10243,0,47.293
2008-04-22,TLT,87.50020687133043,0.0,93.46,GLD,23.200959066729002,0.0,90.27,0.0,10272,0,46.593
2008-04-23,TLT,87.50020687133043,0.0,93.15,GLD,23.200959066729002,0.0,89.22,0.0,10220,0,47.103
2008-04-24,TLT,87.50020687133043,0.0,92.36,GLD,23.200959066729002,0.0,87.22,0.0,10105,0,47.523
2008-04-25,TLT,87.50020687133043,0.0,91.82,GLD,23.200959066729002,0.0,87.27,0.0,10059,0,47.403
2008-04-28,TLT,87.50020687133043,0.0,92.1,GLD,23.200959066729002,0.0,87.69,0.0,10093,0,47.493
2008-04-29,TLT,87.50020687133043,0.0,92.45,GLD,23.200959066729002,0.0,85.81,0.0,10080,0,47.853
2008-04-30,TLT,87.50020687133043,0.0,93.11,GLD,23.200959066729002,0.0,86.65,0.0,10157,0,47.463
