Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2006-06-30,FBT,50.405859750240154,0.0,20.82,FDN,65.85647058823528,0.0,21.25,IGV,37.120689655172406,0.0,37.7,IHI,22.908753547260424,0.0,45.81,ITA,44.50816196735212,0.0,47.17,TLT,46.24584914611006,0.0,84.32,0,0.0,0.0,0.0,-899.9999999999986,9996,0,38.77
2006-07-03,FBT,50.405859750240154,0.0,20.85,FDN,65.85647058823528,0.0,21.3,IGV,37.120689655172406,0.0,38.04,IHI,22.908753547260424,0.0,46.06,ITA,44.50816196735212,0.0,47.37,TLT,46.24584914611006,0.327,83.91,0,0.0,0.0,0.0,-899.9999999999986,10009,0,39.0
2006-07-05,FBT,50.405859750240154,0.0,20.81,FDN,65.85647058823528,0.0,20.9,IGV,37.120689655172406,0.0,37.37,IHI,22.908753547260424,0.0,45.69,ITA,44.50816196735212,0.0,47.07,TLT,46.24584914611006,0.0,83.24,0,0.0,0.0,0.0,-899.9999999999986,9903,0,38.15
2006-07-06,FBT,50.405859750240154,0.0,20.76,FDN,65.85647058823528,0.0,20.76,IGV,37.120689655172406,0.0,36.99,IHI,22.908753547260424,0.0,45.78,ITA,44.50816196735212,0.0,47.31,TLT,46.24584914611006,0.0,83.75,0,0.0,0.0,0.0,-899.9999999999986,9914,0,38.11
2006-07-07,FBT,50.405859750240154,0.0,20.8,FDN,65.85647058823528,0.0,20.38,IGV,37.120689655172406,0.0,36.74,IHI,22.908753547260424,0.0,45.77,ITA,44.50816196735212,0.0,46.85,TLT,46.24584914611006,0.0,84.29,0,0.0,0.0,0.0,-899.9999999999986,9886,0,37.69
2006-07-10,FBT,50.405859750240154,0.0,20.48,FDN,65.85647058823528,0.0,20.54,IGV,37.120689655172406,0.0,36.26,IHI,22.908753547260424,0.0,45.85,ITA,44.50816196735212,0.0,47.0,TLT,46.24584914611006,0.0,84.37,0,0.0,0.0,0.0,-899.9999999999986,9875,0,37.36
2006-07-11,FBT,50.405859750240154,0.0,20.48,FDN,65.85647058823528,0.0,20.09,IGV,37.120689655172406,0.0,36.43,IHI,22.908753547260424,0.0,46.07,ITA,44.50816196735212,0.0,47.86,TLT,46.24584914611006,0.0,84.64,0,0.0,0.0,0.0,-899.9999999999986,9907,0,37.64
2006-07-12,FBT,50.405859750240154,0.0,20.48,FDN,65.85647058823528,0.0,20.09,IGV,37.120689655172406,0.0,35.89,IHI,22.908753547260424,0.0,45.5,ITA,44.50816196735212,0.0,47.45,TLT,46.24584914611006,0.0,84.66,0,0.0,0.0,0.0,-899.9999999999986,9857,0,36.93
2006-07-13,FBT,50.405859750240154,0.0,20.48,FDN,65.85647058823528,0.0,19.8,IGV,37.120689655172406,0.0,35.65,IHI,22.908753547260424,0.0,45.02,ITA,44.50816196735212,0.0,46.7,TLT,46.24584914611006,0.0,84.99,0,0.0,0.0,0.0,-899.9999999999986,9799,0,36.31
2006-07-14,FBT,50.405859750240154,0.0,19.81,FDN,65.85647058823528,0.0,19.39,IGV,37.120689655172406,0.0,35.65,IHI,22.908753547260424,0.0,44.65,ITA,44.50816196735212,0.0,46.01,TLT,46.24584914611006,0.0,85.04,0,0.0,0.0,0.0,-899.9999999999986,9702,0,35.94
