Date,Ticker_1,Shares_1,Dividend_1,Price_1,Cash,Capital,InOutCash,Bench
2007-12-31,TLT,107.47429983239303,0.0,93.04,0.0,9999,0,51.272999999999996
2008-01-02,TLT,107.47429983239303,0.0,94.38,0.0,10143,0,50.462999999999994
2008-01-03,TLT,107.47429983239303,0.0,94.25,0.0,10129,0,50.672999999999995
2008-01-04,TLT,107.47429983239303,0.0,94.27,0.0,10131,0,48.452999999999996
2008-01-07,TLT,107.47429983239303,0.0,94.68,0.0,10175,0,48.223
2008-01-08,TLT,107.47429983239303,0.0,94.57,0.0,10163,0,46.973
2008-01-09,TLT,107.47429983239303,0.0,94.75,0.0,10183,0,47.973
2008-01-10,TLT,107.47429983239303,0.0,93.47,0.0,10045,0,48.043
2008-01-11,TLT,107.47429983239303,0.0,94.2,0.0,10124,0,47.102999999999994
2008-01-14,TLT,107.47429983239303,0.0,94.55,0.0,10161,0,47.922999999999995
2008-01-15,TLT,107.47429983239303,0.0,95.61,0.0,10275,0,46.602999999999994
2008-01-16,TLT,107.47429983239303,0.0,94.92,0.0,10201,0,46.102999999999994
2008-01-17,TLT,107.47429983239303,0.0,96.15,0.0,10333,0,45.462999999999994
2008-01-18,TLT,107.47429983239303,0.0,95.49,0.0,10262,0,45.403
2008-01-22,TLT,107.47429983239303,0.0,96.51,0.0,10372,0,44.233
2008-01-23,TLT,107.47429983239303,0.0,96.29,0.0,10348,0,44.062999999999995
2008-01-24,TLT,107.47429983239303,0.0,94.36,0.0,10141,0,44.962999999999994
2008-01-25,TLT,107.47429983239303,0.0,95.95,0.0,10312,0,44.043
2008-01-28,TLT,107.47429983239303,0.0,95.59,0.0,10273,0,44.382999999999996
2008-01-29,TLT,107.47429983239303,0.0,94.94,0.0,10203,0,44.462999999999994
2008-01-30,TLT,107.47429983239303,0.0,94.32,0.0,10136,0,44.422999999999995
2008-01-31,TLT,107.46850974922638,0.0,94.99,0.0,10208,0,45.183
2008-02-01,TLT,107.46850974922638,0.329,95.23,0.0,10234,0,45.643
2008-02-04,TLT,107.46850974922638,0.0,94.25,0.0,10128,0,45.003
2008-02-05,TLT,107.46850974922638,0.0,94.97,0.0,10206,0,43.723
2008-02-06,TLT,107.46850974922638,0.0,94.68,0.0,10175,0,42.863
2008-02-07,TLT,107.46850974922638,0.0,92.64,0.0,9955,0,43.163
2008-02-08,TLT,107.46850974922638,0.0,93.7,0.0,10069,0,43.653
2008-02-11,TLT,107.46850974922638,0.0,94.09,0.0,10111,0,44.123
2008-02-12,TLT,107.46850974922638,0.0,93.53,0.0,10051,0,43.873
2008-02-13,TLT,107.46850974922638,0.0,92.54,0.0,9945,0,44.833
2008-02-14,TLT,107.46850974922638,0.0,91.18,0.0,9798,0,44.022999999999996
2008-02-15,TLT,107.46850974922638,0.0,91.88,0.0,9874,0,43.873
2008-02-19,TLT,107.46850974922638,0.0,90.95,0.0,9774,0,43.793
2008-02-20,TLT,107.46850974922638,0.0,91.58,0.0,9841,0,43.992999999999995
2008-02-21,TLT,107.46850974922638,0.0,92.55,0.0,9946,0,43.573
2008-02-22,TLT,107.46850974922638,0.0,92.02,0.0,9889,0,43.733
2008-02-25,TLT,107.46850974922638,0.0,91.08,0.0,9788,0,43.952999999999996
2008-02-26,TLT,107.46850974922638,0.0,91.11,0.0,9791,0,44.123
2008-02-27,TLT,107.46850974922638,0.0,91.19,0.0,9800,0,44.342999999999996
2008-02-28,TLT,107.46850974922638,0.0,92.81,0.0,9974,0,44.172999999999995
2008-02-29,TLT,107.80037248653665,0.0,94.23,0.0,10158,0,43.003
2008-03-03,TLT,107.80037248653665,0.348,93.64,0.0,10094,0,42.723
2008-03-04,TLT,107.80037248653665,0.0,92.73,0.0,9996,0,42.962999999999994
2008-03-05,TLT,107.80037248653665,0.0,91.62,0.0,9876,0,43.172999999999995
2008-03-06,TLT,107.80037248653665,0.0,92.11,0.0,9929,0,42.223
2008-03-07,TLT,107.80037248653665,0.0,92.23,0.0,9942,0,42.123
2008-03-10,TLT,107.80037248653665,0.0,93.59,0.0,10089,0,41.312999999999995
2008-03-11,TLT,107.80037248653665,0.0,92.79,0.0,10002,0,42.882999999999996
2008-03-12,TLT,107.80037248653665,0.0,94.58,0.0,10195,0,42.763
2008-03-13,TLT,107.80037248653665,0.0,93.84,0.0,10115,0,43.092999999999996
2008-03-14,TLT,107.80037248653665,0.0,95.0,0.0,10241,0,42.303
2008-03-17,TLT,107.80037248653665,0.0,95.73,0.0,10319,0,41.532999999999994
2008-03-18,TLT,107.80037248653665,0.0,95.36,0.0,10279,0,43.382999999999996
2008-03-19,TLT,107.80037248653665,0.0,96.94,0.0,10450,0,42.312999999999995
2008-03-20,TLT,107.80037248653665,0.0,97.18,0.0,10476,0,43.176
2008-03-24,TLT,107.80037248653665,0.0,95.3,0.0,10273,0,44.666
2008-03-25,TLT,107.80037248653665,0.0,95.7,0.0,10316,0,44.916
2008-03-26,TLT,107.80037248653665,0.0,95.3,0.0,10273,0,44.786
2008-03-27,TLT,107.80037248653665,0.0,94.63,0.0,10201,0,43.796
2008-03-28,TLT,107.80037248653665,0.0,95.55,0.0,10300,0,43.576
2008-03-31,TLT,108.14673891330463,0.0,95.89,0.0,10370,0,43.806
2008-04-01,TLT,108.14673891330463,0.406,93.93,0.0,10158,0,45.676
2008-04-02,TLT,108.14673891330463,0.0,94.13,0.0,10179,0,45.576
2008-04-03,TLT,108.14673891330463,0.0,94.34,0.0,10202,0,45.676
2008-04-04,TLT,108.14673891330463,0.0,95.2,0.0,10295,0,45.946
2008-04-07,TLT,108.14673891330463,0.0,94.7,0.0,10241,0,45.846
2008-04-08,TLT,108.14673891330463,0.0,94.37,0.0,10205,0,45.495999999999995
2008-04-09,TLT,108.14673891330463,0.0,95.35,0.0,10311,0,44.986
2008-04-10,TLT,108.14673891330463,0.0,95.03,0.0,10277,0,45.626
2008-04-11,TLT,108.14673891330463,0.0,95.67,0.0,10346,0,44.366
2008-04-14,TLT,108.14673891330463,0.0,95.11,0.0,10285,0,44.166
2008-04-15,TLT,108.14673891330463,0.0,93.93,0.0,10158,0,44.226
2008-04-16,TLT,108.14673891330463,0.0,93.01,0.0,10058,0,45.455999999999996
2008-04-17,TLT,108.14673891330463,0.0,92.85,0.0,10041,0,45.356
2008-04-18,TLT,108.14673891330463,0.0,92.77,0.0,10032,0,46.796
2008-04-21,TLT,108.14673891330463,0.0,93.14,0.0,10072,0,47.126
2008-04-22,TLT,108.14673891330463,0.0,93.46,0.0,10107,0,46.426
2008-04-23,TLT,108.14673891330463,0.0,93.15,0.0,10073,0,46.936
2008-04-24,TLT,108.14673891330463,0.0,92.36,0.0,9988,0,47.356
2008-04-25,TLT,108.14673891330463,0.0,91.82,0.0,9930,0,47.236
2008-04-28,TLT,108.14673891330463,0.0,92.1,0.0,9960,0,47.326
2008-04-29,TLT,108.14673891330463,0.0,92.45,0.0,9998,0,47.686
