Date,Ticker_1,Shares_1,Dividend_1,Price_1,Ticker_2,Shares_2,Dividend_2,Price_2,Ticker_3,Shares_3,Dividend_3,Price_3,Ticker_4,Shares_4,Dividend_4,Price_4,Ticker_5,Shares_5,Dividend_5,Price_5,Ticker_6,Shares_6,Dividend_6,Price_6,Ticker_7,Shares_7,Dividend_7,Price_7,Cash,Capital,InOutCash,Bench
2006-09-29,FBT,28.599713740458018,0.0,20.96,FDN,38.10533841754052,0.0,20.98,IGV,18.46304849884527,0.0,43.3,IHI,12.855457859746945,0.0,46.63,ITA,24.568824252355594,0.0,48.82,TLT,14.533609215971369,0.0,89.41,0,0.0,0.0,0.0,-300.0000000000003,4996,0,40.673
2006-10-02,FBT,28.599713740458018,0.0,21.39,FDN,38.10533841754052,0.0,20.71,IGV,18.46304849884527,0.0,42.65,IHI,12.855457859746945,0.0,46.23,ITA,24.568824252355594,0.0,48.89,TLT,14.533609215971369,0.354,89.3,0,0.0,0.0,0.0,-300.0000000000003,4981,0,40.163000000000004
2006-10-03,FBT,28.599713740458018,0.0,21.35,FDN,38.10533841754052,0.0,20.95,IGV,18.46304849884527,0.0,42.95,IHI,12.855457859746945,0.0,46.52,ITA,24.568824252355594,0.0,49.27,TLT,14.533609215971369,0.0,89.18,0,0.0,0.0,0.0,-300.0000000000003,5006,0,40.333000000000006
2006-10-04,FBT,28.599713740458018,0.0,21.85,FDN,38.10533841754052,0.0,21.5,IGV,18.46304849884527,0.0,43.8,IHI,12.855457859746945,0.0,47.39,ITA,24.568824252355594,0.0,49.8,TLT,14.533609215971369,0.0,89.83,0,0.0,0.0,0.0,-300.0000000000003,5091,0,41.323
2006-10-05,FBT,28.599713740458018,0.0,22.13,FDN,38.10533841754052,0.0,21.66,IGV,18.46304849884527,0.0,44.0,IHI,12.855457859746945,0.0,47.92,ITA,24.568824252355594,0.0,50.14,TLT,14.533609215971369,0.0,89.2,0,0.0,0.0,0.0,-300.0000000000003,5114,0,41.523
2006-10-06,FBT,28.599713740458018,0.0,22.14,FDN,38.10533841754052,0.0,21.55,IGV,18.46304849884527,0.0,43.94,IHI,12.855457859746945,0.0,47.65,ITA,24.568824252355594,0.0,50.13,TLT,14.533609215971369,0.0,88.27,0,0.0,0.0,0.0,-300.0000000000003,5092,0,41.433
2006-10-09,FBT,28.599713740458018,0.0,22.3,FDN,38.10533841754052,0.0,21.55,IGV,18.46304849884527,0.0,43.85,IHI,12.855457859746945,0.0,47.84,ITA,24.568824252355594,0.0,50.27,TLT,14.533609215971369,0.0,88.51,0,0.0,0.0,0.0,-300.0000000000003,5104,0,41.573
2006-10-10,FBT,28.599713740458018,0.0,22.15,FDN,38.10533841754052,0.0,21.35,IGV,18.46304849884527,0.0,44.06,IHI,12.855457859746945,0.0,47.82,ITA,24.568824252355594,0.0,50.37,TLT,14.533609215971369,0.0,87.81,0,0.0,0.0,0.0,-300.0000000000003,5088,0,41.643
2006-10-11,FBT,28.599713740458018,0.0,22.11,FDN,38.10533841754052,0.0,21.05,IGV,18.46304849884527,0.0,44.0,IHI,12.855457859746945,0.0,47.73,ITA,24.568824252355594,0.0,50.29,TLT,14.533609215971369,0.0,87.55,0,0.0,0.0,0.0,-300.0000000000003,5068,0,41.563
2006-10-12,FBT,28.599713740458018,0.0,22.41,FDN,38.10533841754052,0.0,21.32,IGV,18.46304849884527,0.0,44.93,IHI,12.855457859746945,0.0,48.0,ITA,24.568824252355594,0.0,51.27,TLT,14.533609215971369,0.0,87.6,0,0.0,0.0,0.0,-300.0000000000003,5132,0,42.223000000000006
